31_0Skel_31_0Skel,31_0Skel_31_0Bulge,31_0Skel_31_50Skel,31_0Skel_31_50Bulge,31_0Bulge_31_0Skel,31_0Bulge_31_0Bulge,31_0Bulge_31_50Skel,31_0Bulge_31_50Bulge,31_50Skel_31_0Skel,31_50Skel_31_0Bulge,31_50Skel_31_50Skel,31_50Skel_31_50Bulge,31_50Bulge_31_0Skel,31_50Bulge_31_0Bulge,31_50Bulge_31_50Skel,31_50Bulge_31_50Bulge
0.0,303.23330059621065,305.6851682351609,341.0417559144501,303.23330059621065,0.0,342.08768461677937,316.2457954104955,305.6851682351609,342.08768461677937,0.0,326.1542609849003,341.0417559144501,316.2457954104955,326.1542609849003,0.0
0.0,301.74247160358163,304.28469878369145,343.6447788522551,301.74247160358163,0.0,341.1607520980975,318.77256329334523,304.28469878369145,341.1607520980975,0.0,328.2840463978284,343.6447788522551,318.77256329334523,328.2840463978284,0.0
0.0,300.671812367791,307.29942463942285,345.5619816800609,300.671812367791,0.0,340.3246694125232,318.77225957761345,307.29942463942285,340.3246694125232,0.0,329.75899395139254,345.5619816800609,318.77225957761345,329.75899395139254,0.0
0.0,299.67300564485237,305.5504955237885,345.9441352707956,299.67300564485237,0.0,340.8360321029353,320.7997721553823,305.5504955237885,340.8360321029353,0.0,329.8179029499663,345.9441352707956,320.7997721553823,329.8179029499663,0.0
0.0,298.21358078556267,305.0491060598118,347.82384255912183,298.21358078556267,0.0,340.4860449713223,321.96096301737657,305.0491060598118,340.4860449713223,0.0,330.9920289852852,347.82384255912183,321.96096301737657,330.9920289852852,0.0
0.0,295.34696009144506,302.487849589692,348.41935383998003,295.34696009144506,0.0,340.7449050261539,322.7657471636458,302.487849589692,340.7449050261539,0.0,334.0542128217227,348.41935383998003,322.7657471636458,334.0542128217227,0.0
0.0,295.2792605981702,300.0004044300016,348.234101610032,295.2792605981702,0.0,340.32036210056896,323.34263656935525,300.0004044300016,340.32036210056896,0.0,334.9723244669522,348.234101610032,323.34263656935525,334.9723244669522,0.0
0.0,290.42731190693354,300.31159259705277,348.8563016380881,290.42731190693354,0.0,341.0530952667082,324.5172067099505,300.31159259705277,341.0530952667082,0.0,336.47226488587376,348.8563016380881,324.5172067099505,336.47226488587376,0.0
0.0,288.4347595583461,296.6397701822168,346.5361010209985,288.4347595583461,0.0,341.09193629352006,323.62873804089895,296.6397701822168,341.09193629352006,0.0,334.9998555917204,346.5361010209985,323.62873804089895,334.9998555917204,0.0
0.0,286.70294432380143,296.26154570306005,349.682813938019,286.70294432380143,0.0,341.2731026032708,325.98093984085125,296.26154570306005,341.2731026032708,0.0,337.9068870002204,349.682813938019,325.98093984085125,337.9068870002204,0.0
0.0,283.6528355501136,294.72466172856275,350.351605026442,283.6528355501136,0.0,341.93239735675934,324.8422138006751,294.72466172856275,341.93239735675934,0.0,339.0967594117081,350.351605026442,324.8422138006751,339.0967594117081,0.0
0.0,285.740917292038,292.8062652417802,349.11007440414585,285.740917292038,0.0,343.0560943085685,324.3139522457528,292.8062652417802,343.0560943085685,0.0,338.4935053509049,349.11007440414585,324.3139522457528,338.4935053509049,0.0
0.0,284.74900898487056,292.9503994276184,347.0614841294064,284.74900898487056,0.0,343.25097917747314,323.2427726904818,292.9503994276184,343.25097917747314,0.0,338.2036314634261,347.0614841294064,323.2427726904818,338.2036314634261,0.0
0.0,284.7456712484,291.66475726122303,347.6152071699501,284.7456712484,0.0,343.695383115406,323.3788937462364,291.66475726122303,343.695383115406,0.0,338.01499265414634,347.6152071699501,323.3788937462364,338.01499265414634,0.0
0.0,284.70076592640225,291.03206988156165,348.2187473673355,284.70076592640225,0.0,343.77588134041054,323.4642116167069,291.03206988156165,343.77588134041054,0.0,336.89447056849,348.2187473673355,323.4642116167069,336.89447056849,0.0
0.0,284.99115066261135,291.2031087439873,348.9090173064821,284.99115066261135,0.0,343.2754047850892,323.6043226326114,291.2031087439873,343.2754047850892,0.0,337.20071130466476,348.9090173064821,323.6043226326114,337.20071130466476,0.0
0.0,285.0791688357957,290.62583459231996,349.85362570558857,285.0791688357957,0.0,341.5585089337164,321.8216826494048,290.62583459231996,341.5585089337164,0.0,334.846506414025,349.85362570558857,321.8216826494048,334.846506414025,0.0
0.0,286.29838774664734,291.22597377337024,348.21047555541764,286.29838774664734,0.0,343.1734473946188,317.5220008434431,291.22597377337024,343.1734473946188,0.0,331.60618440780877,348.21047555541764,317.5220008434431,331.60618440780877,0.0
0.0,286.47614440608663,291.96541384422017,344.0042886314113,286.47614440608663,0.0,343.6617980416926,312.8253127402375,291.96541384422017,343.6617980416926,0.0,326.79947170488435,344.0042886314113,312.8253127402375,326.79947170488435,0.0
